(rct) ~/SAPDevelop/git/prv/rct-reader> python pv_reader.py --host HF-A21.fritz.box --listen-only 
Listening to inverter port

11:42:22: Response battery.current (563485528): value: -6.205000400543213, type: 9
11:42:22: Response acc_conv.i_acc_lp_fast (184407759): value: -6.193477153778076, type: 9
11:42:22: Response battery.cycles (3235850616): value: 13, type: 7
11:42:22: Response db.temp2 (1332960528): value: 32.63803482055664, type: 9
11:42:22: Response battery.maximum_discharge_current (3742004060): value: 24.962459564208984, type: 9
11:42:22: Response battery.maximum_charge_current (509594224): value: 24.954011917114258, type: 9
11:42:22: Response battery.soh (941329401): value: 1.0, type: 9
11:42:28: Response battery.stored_energy (1433419803): value: 156857.953125, type: 9
11:42:28: Response battery.used_energy (2835560576): value: 144274.25, type: 9
11:42:28: Response battery.voltage (1710149915): value: 405.27899169921875, type: 9
11:42:28: Response battery.bms_software_version (2641911436): value: 5597, type: 6
11:42:28: Response battery.bms_sn (379713604): value: 0180A714022419, type: 10
11:42:28: Response g_sync.p_acc_lp (1074725211): value: -2514.573974609375, type: 9
11:42:28: Response battery.soc (2509844671): value: 0.8325914740562439, type: 9
11:42:28: Response battery.temperature (2418735867): value: 28.200000762939453, type: 9
11:42:28: Response dc_conv.dc_conv_struct[0].u_sg_lp (2996320605): value: 476.35150146484375, type: 9
11:42:28: Response dc_conv.dc_conv_struct[1].u_sg_lp (1538787162): value: 471.19598388671875, type: 9
11:42:28: Response dc_conv.dc_conv_struct[0].p_dc_lp (3675358555): value: 1386.654296875, type: 9
11:42:28: Response dc_conv.dc_conv_struct[1].p_dc_lp (213242395): value: 1412.783447265625, type: 9
11:42:28: Response energy.e_ext_total (2778498088): value: 0.0, type: 9
11:42:28: Response fault[0].flt (939120074): value: 0, type: 6
11:42:28: Response fault[1].flt (592135990): value: 0, type: 6
11:42:28: Response fault[2].flt (998231367): value: 0, type: 6
11:42:28: Response fault[3].flt (2139176307): value: 0, type: 6
11:42:28: Response buf_v_control.power_reduction_max_solar_grid (4101225566): value: 9880.0, type: 9
11:42:28: Response energy.e_grid_feed_total (1154794803): value: -613794.8125, type: 9
11:42:28: Response energy.e_grid_load_total (1660676060): value: 17236.9296875, type: 9
11:42:28: Response g_sync.p_ac_load_sum_lp (449346208): value: 234.47076416015625, type: 9
11:42:28: Response energy.e_load_total (4025791799): value: 244725.53125, type: 9
11:42:28: Response g_sync.i_dr_eff[0] (2314092213): value: 0.3491935431957245, type: 9
11:42:28: Response g_sync.i_dr_eff[1] (1695293143): value: 0.3508468270301819, type: 9
11:42:28: Response g_sync.i_dr_eff[2] (2461820971): value: 0.3594532608985901, type: 9
11:42:28: Response g_sync.u_l_rms[0] (3473223813): value: 237.4801788330078, type: 9
11:42:28: Response g_sync.u_l_rms[1] (1421109326): value: 237.4331512451172, type: 9
11:42:28: Response g_sync.u_l_rms[2] (625336877): value: 237.67764282226562, type: 9
11:42:28: Response g_sync.p_ac_grid_sum_lp (2439085144): value: 0.3698914349079132, type: 9
11:42:28: Response grid_pll[0].f (474637919): value: 49.96885681152344, type: 9
11:42:28: Response energy.e_dc_total[0] (4235348638): value: 433487.0625, type: 9
11:42:28: Response energy.e_dc_total[1] (1760492861): value: 446075.1875, type: 9
11:42:28: Response energy.e_ac_total (2985256910): value: 841301.3125, type: 9
11:42:28: Response io_board.s0_external_power (3916372036): value: 0.0, type: 9
11:42:28: Response energy.e_ac_day (3176501343): value: 1618.2506103515625, type: 9
11:42:28: Response battery.stack_software_version[0] (1669879148): value: 5597, type: 6
11:42:28: Response battery.stack_software_version[1] (2773239429): value: 5597, type: 6
11:42:28: Response battery.stack_software_version[2] (3367638825): value: 5597, type: 6
11:42:28: Response battery.stack_software_version[3] (141325744): value: 5597, type: 6
11:42:28: Response battery.stack_software_version[4] (2752054975): value: 5597, type: 6
11:42:28: Response battery.stack_software_version[5] (4003722651): value: 0, type: 6
11:42:28: Response battery.stack_software_version[6] (1769240970): value: 0, type: 6
11:42:28: Response energy.e_dc_day[0] (719782898): value: 4726.84521484375, type: 9
11:42:28: Response energy.e_dc_day[1] (4227059351): value: 4786.88330078125, type: 9
11:42:28: Response energy.e_ext_day (3114280697): value: 0.0, type: 9
11:42:28: Response energy.e_grid_feed_day (1015530741): value: -262.9000549316406, type: 9
11:42:28: Response energy.e_grid_load_day (2256400253): value: 1300.95458984375, type: 9
11:42:28: Response energy.e_load_day (792468861): value: 2656.399169921875, type: 9
11:42:28: Response prim_sm.island_flag (908318762): value: 2, type: 4
^C
